description,name
adversaries may use domain generation algorithms https attack mitre org techniques t1520 dgas to procedurally generate domain names for command and control communication and other uses such as malicious application distribution citation securelist rotexy 2018 dgas increase the difficulty for defenders to block track or take over the command and control channel as there potentially could be thousands of domains that malware can check for instructions ,Domain Generation Algorithms
an adversary could call standard operating system apis from a malicious application to gather calendar entry data or with escalated privileges could directly access files containing calendar data ,Access Calendar Entries
an adversary could set up unauthorized wi fi access points or compromise existing access points and if the device connects to them carry out network based attacks such as eavesdropping on or modifying network communication citation nist sp800153 citation kaspersky darkhotel ,Rogue Wi-Fi Access Points
adversaries may abuse android s startforeground api method to maintain continuous sensor access beginning in android 9 idle applications running in the background no longer have access to device sensors such as the camera microphone and gyroscope citation android sensorsoverview applications can retain sensor access by running in the foreground using android s startforeground api method this informs the system that the user is actively interacting with the application and it should not be killed the only requirement to start a foreground service is showing a persistent notification to the user citation android foregroundservices malicious applications may abuse the startforeground api method to continue running in the foreground while presenting a notification to the user pretending to be a genuine application this would allow unhindered access to the device s sensors assuming permission has been previously granted citation blackhat sutter android foreground 2019 malicious applications may also abuse the startforeground api to inform the android system that the user is actively interacting with the application thus preventing it from being killed by the low memory killer citation trendmicro yellow camera ,Foreground Persistence
adversaries may move onto devices by exploiting or copying malware to devices connected via usb in the case of lateral movement adversaries may utilize the physical connection of a device to a compromised or malicious charging station or pc to bypass application store requirements and install malicious applications directly citation lau mactans in the case of initial access adversaries may attempt to exploit the device via the connection to gain access to data stored on the device citation krebs juicejacking examples of this include exploiting insecure bootloaders in a nexus 6 or 6p device over usb and gaining the ability to perform actions including intercepting phone calls intercepting network traffic and obtaining the device physical location citation ibm nexususb exploiting weakly enforced security boundaries in android devices such as the google pixel 2 over usb citation googleprojectzero oatmeal products from cellebrite and grayshift purportedly that can exploit some ios devices using physical access to the data port to unlock the passcode citation computerworld iphonecracking ,Replication Through Removable Media
adversaries may capture audio to collect information by leveraging standard operating system apis of a mobile device examples of audio information adversaries may target include user conversations surroundings phone calls or other sensitive information android and ios by default require that applications request device microphone access from the user on android devices applications must hold the record_audio permission to access the microphone or the capture_audio_output permission to access audio output because android does not allow third party applications to hold the capture_audio_output permission by default only privileged applications such as those distributed by google or the device vendor can access audio output citation android permissions however adversaries may be able to gain this access after successfully elevating their privileges with the capture_audio_output permission adversaries may pass the mediarecorder audiosource voice_call constant to mediarecorder setaudiooutput allowing capture of both voice call uplink and downlink citation manifest permission on ios devices applications must include the nsmicrophoneusagedescription key in their info plist file to access the microphone citation requesting auth media capture ,Audio Capture
adversaries may execute their own malicious payloads by hijacking the way operating systems run applications hijacking execution flow can be for the purposes of persistence since this hijacked execution may reoccur over time there are many ways an adversary may hijack the flow of execution a primary way is by manipulating how the operating system locates programs to be executed how the operating system locates libraries to be used by a program can also be intercepted locations where the operating system looks for programs or resources such as file directories could also be poisoned to include malicious payloads ,Hijack Execution Flow
adversaries may abuse unix shell commands and scripts for execution unix shells are the underlying command prompts on android and ios devices unix shells can control every aspect of a system with certain commands requiring elevated privileges that are only accessible if the device has been rooted or jailbroken unix shells also support scripts that enable sequential execution of commands as well as other typical programming operations such as conditionals and loops common uses of shell scripts include long or repetitive tasks or the need to run the same set of commands on multiple systems adversaries may abuse unix shells to execute various commands or payloads interactive shells may be accessed through command and control channels or during lateral movement such as with ssh adversaries may also leverage shell scripts to deliver and execute multiple commands on victims or as part of payloads used for persistence if the device has been rooted or jailbroken adversaries may locate and invoke a superuser binary to elevate their privileges and interact with the system as the root user this dangerous level of permissions allows the adversary to run special commands and modify protected system files ,Unix Shell
adversaries may communicate using application layer protocols to avoid detection network filtering by blending in with existing traffic commands to the mobile device and often the results of those commands will be embedded within the protocol traffic between the mobile device and server adversaries may utilize many different protocols including those used for web browsing transferring files electronic mail or dns ,Application Layer Protocol
,App Delivered via Web Download
adversaries may download and execute dynamic code not included in the original application package after installation this technique is primarily used to evade static analysis checks and pre publication scans in official app stores in some cases more advanced dynamic or behavioral analysis techniques could detect this behavior however in conjunction with execution guardrails https attack mitre org techniques t1627 techniques detecting malicious code downloaded after installation could be difficult on android dynamic code could include native code dalvik code or javascript code that utilizes android webview s javascriptinterface capability on ios dynamic code could be downloaded and executed through 3rd party libraries such as jspatch citation fireeye jspatch ,Download New Code at Runtime
adversaries may exploit software vulnerabilities to gain initial access to a mobile device this can be accomplished in a variety of ways vulnerabilities may be present in applications services the underlying operating system or in the kernel itself several well known mobile device exploits exist including forcedentry stagefright and blueborne further some exploits may be possible to exploit without any user interaction zero click making them particularly dangerous mobile operating system vendors are typically very quick to patch such critical bugs ensuring only a small window where they can be exploited ,Exploitation for Initial Access
an adversary who is able to obtain unauthorized access to or misuse authorized access to cloud services e g google s android device manager or apple icloud s find my iphone or to an enterprise mobility management emm mobile device management mdm server console could use that access to track mobile devices citation krebs location ,Remotely Track Device Without Authorization
adversaries may employ various system checks to detect and avoid virtualization and analysis environments this may include changing behavior after checking for the presence of artifacts indicative of a virtual environment or sandbox if the adversary detects a virtual environment they may alter their malware s behavior to disengage from the victim or conceal the core functions of the implant they may also search for virtualization artifacts before dropping secondary or additional payloads checks could include generic system properties such as host domain name and samples of network traffic adversaries may also check the network adapters addresses cpu core count and available memory drive size hardware checks such as the presence of motion sensors could also be used to gather evidence that can be indicative a virtual environment adversaries may also query for specific readings from these devices ,System Checks
adversaries may try to access and collect application data resident on the device adversaries often target popular applications such as facebook wechat and gmail citation swb exodus march 2019 due to mobile os sandboxing this technique is only possible in three scenarios an application stores files in unprotected external storage an application stores files in its internal storage directory with insecure permissions e g 777 the adversary gains root permissions on the device ,Stored Application Data
adversaries may use screen capture to collect additional information about a target device such as applications running in the foreground user data credentials or other sensitive information applications running in the background can capture screenshots or videos of another application running in the foreground by using the android mediaprojectionmanager generally requires the device user to grant consent citation fortinet screencap july 2019 citation android screencap1 2019 background applications can also use android accessibility services to capture screen contents being displayed by a foreground application citation lookout monokle an adversary with root access or android debug bridge adb access could call the android screencap or screenrecord commands citation android screencap2 2019 citation trend micro screencap july 2015 ,Screen Capture
adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity by manipulating transmitted data adversaries may attempt to affect a business process organizational understanding or decision making manipulation may be possible over a network connection or between system processes where there is an opportunity to deploy a tool that will intercept and change information the type of modification and the impact it will have depends on the target transmission mechanism as well as the goals and objectives of the adversary for complex systems an adversary would likely need special expertise and possibly access to specialized software related to the system typically gained through a prolonged information gathering campaign in order to have the desired impact one method to achieve transmitted data manipulation https attack mitre org techniques t1641 001 is by modifying the contents of the device clipboard malicious applications may monitor clipboard activity through the clipboardmanager onprimaryclipchangedlistener interface on android to determine when clipboard contents have changed listening to clipboard activity reading clipboard contents and modifying clipboard contents requires no explicit application permissions and can be performed by applications running in the background however this behavior has changed with the release of android 10 adversaries may use transmitted data manipulation https attack mitre org techniques t1641 001 to replace text prior to being pasted for example replacing a copied bitcoin wallet address with a wallet address that is under adversarial control transmitted data manipulation https attack mitre org techniques t1641 001 was seen within the android clipper c trojan this sample was detected by eset in an application distributed through the google play store targeting cryptocurrency wallet numbers citation eset clipboard modification february 2019 ,Transmitted Data Manipulation
an adversary could use access to a compromised device s credentials to attempt to manipulate app store rankings or ratings by triggering application downloads or posting fake reviews of applications this technique likely requires privileged access a rooted or jailbroken device ,Manipulate App Store Rankings or Ratings
adversaries may register uniform resource identifiers uris to intercept sensitive data applications regularly register uris with the operating system to act as a response handler for various actions such as logging into an app using an external account via single sign on this allows redirections to that specific uri to be intercepted by the application if a malicious application were to register for a uri that was already in use by a genuine application the malicious application may be able to intercept data intended for the genuine application or perform a phishing attack against the genuine application intercepted data may include oauth authorization codes or tokens that could be used by the malicious application to gain access to resources citation trend micro ios url hijacking citation ietf pkce ,URI Hijacking
adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise applications often depend on external software to function properly popular open source projects that are used as dependencies in many applications may be targeted as a means to add malicious code to users of the dependency citation grace advertisement ,Compromise Software Dependencies and Development Tools
malicious applications may attempt to detect their operating environment prior to fully executing their payloads these checks are often used to ensure the application is not running within an analysis environment such as a sandbox used for application vetting security research or reverse engineering adversaries may use many different checks such as physical sensors location and system properties to fingerprint emulators and sandbox environments citation talos gustuff apr 2019 citation threatfabric cerberus citation xiao zerghelper citation cyberscoop evade analysis january 2019 adversaries may access android os systemproperties via java reflection to obtain specific system information citation github anti emulator standard values such as phone number imei imsi device ids and device drivers may be checked against default signatures of common sandboxes citation sophos anti emulation ,Evade Analysis Environment
adversaries may register uniform resource identifiers uris to intercept sensitive data applications regularly register uris with the operating system to act as a response handler for various actions such as logging into an app using an external account via single sign on this allows redirections to that specific uri to be intercepted by the application if an adversary were to register for a uri that was already in use by a genuine application the adversary may be able to intercept data intended for the genuine application or perform a phishing attack against the genuine application intercepted data may include oauth authorization codes or tokens that could be used by the adversary to gain access to protected resources citation trend micro ios url hijacking citation ietf pkce ,URI Hijacking
adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted applications operating systems and security products may contain mechanisms to identify programs or websites as possessing some level of trust examples of such features include an app being allowed to run because it is signed by a valid code signing certificate an os prompt alerting the user that an app came from an untrusted source or getting an indication that you are about to connect to an untrusted site the method adversaries use will depend on the specific mechanism they seek to subvert ,Subvert Trust Controls
on android an adversary could call standard operating system apis from a malicious application to gather call log data or with escalated privileges could directly access files containing call log data on ios applications do not have access to the call log so privilege escalation would be required in order to access the data ,Access Call Log
adversaries may use a device s geographical location to limit certain malicious behaviors for example malware operators may limit the distribution of a second stage payload to certain geographic regions citation lookout esurv geofencing https attack mitre org techniques t1581 is accomplished by persuading the user to grant the application permission to access location services the application can then collect process and exfiltrate the device s location to perform location based actions such as ceasing malicious behavior or showing region specific advertisements one method to accomplish geofencing https attack mitre org techniques t1581 on android is to use the built in geofencing api to automatically trigger certain behaviors when the device enters or exits a specified radius around a geographical location similar to other geofencing https attack mitre org techniques t1581 methods this requires that the user has granted the access_fine_location and access_background_location permissions the latter is only required if the application targets android 10 api level 29 or higher however android 11 introduced additional permission controls that may restrict background location collection based on user permission choices at runtime these additional controls include allow only while using the app which will effectively prohibit background location collection citation android geofencing api similarly on ios developers can use built in apis to setup and execute geofencing depending on the use case the app will either need to call requestwheninuseauthorization or requestalwaysauthorization depending on when access to the location services is required similar to android users also have the option to limit when the application can access the device s location including one time use and only when the application is running in the foreground citation apple location services geofencing https attack mitre org techniques t1581 can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within for example location data could be used to limit malware spread and or capabilities which could also potentially evade application analysis environments ex malware analysis outside of the target geographic area other malicious usages could include showing language specific input prompt https attack mitre org techniques t1411 s and or advertisements ,Geofencing
adversaries may request device administrator permissions to perform malicious actions by abusing the device administration api adversaries can perform several nefarious actions such as resetting the device s password for device lockout https attack mitre org techniques t1446 factory resetting the device to delete device data https attack mitre org techniques t1447 and any traces of the malware disabling all of the device s cameras or make it more difficult to uninstall the app citation android deviceadmininfo device administrators must be approved by the user at runtime with a system popup showing which of the actions have been requested by the app in conjunction with other techniques such as input injection https attack mitre org techniques t1516 an app can programmatically grant itself administrator permissions without any user input ,Device Administrator Permissions
,Remotely Install Application
adversaries may collect keychain data from an ios device to acquire credentials keychains are the built in way for ios to keep track of users passwords and credentials for many services and features such as wi fi passwords websites secure notes certificates private keys and vpn credentials on the device the keychain database is stored outside of application sandboxes to prevent unauthorized access to the raw data standard ios apis allow applications access to their own keychain contained within the database by utilizing a privilege escalation exploit or existing root access adversaries can access the entire encrypted database citation apple keychain services citation elcomsoft decrypt keychain ,Keychain
art the android runtime compiles optimized code on the device itself to improve performance an adversary may be able to use escalated privileges to modify the cached code in order to hide malicious behavior since the code is compiled on the device it may not receive the same level of integrity checks that are provided to code running in the system partition citation sabanal art ,Modify Cached Executable Code
on android device type information is accessible to apps through the android os build class citation android build device information could be used to target privilege escalation exploits ,Device Type Discovery
adversaries may include functionality in malware that uninstalls the malicious application from the device this can be achieved by abusing device owner permissions to perform silent uninstallation using device owner api calls abusing root permissions to delete files from the filesystem abusing the accessibility service this requires an intent be sent to the system to request uninstallation and then abusing the accessibility service to click the proper places on the screen to confirm uninstallation ,Uninstall Malicious Application
adversaries may wipe a device or delete individual files in order to manipulate external outcomes or hide activity an application must have administrator access to fully wipe the device while individual files may not require special permissions to delete depending on their storage location citation android devicepolicymanager 2019 stored data could include a variety of file formats such as office files databases stored emails and custom file formats the impact file deletion will have depends on the type of data as well as the goals and objectives of the adversary but can include deleting update files to evade detection or deleting attacker specified files for impact ,Delete Device Data
a malicious app may trigger fraudulent charges on a victim s carrier billing statement in several different ways including sms toll fraud and sms shortcodes that make purchases performing sms fraud relies heavily upon the fact that when making sms purchases the carriers perform device verification but not user verification this allows adversaries to make purchases on behalf of the user with little or no user interaction citation google bread malicious applications may also perform toll billing which occurs when carriers provide payment endpoints over a web page the application connects to the web page over cellular data so the carrier can directly verify the number or the application must retrieve a code sent via sms and enter it into the web page citation google bread on ios apps cannot send sms messages on android apps must hold the send_sms permission to send sms messages additionally android version 4 2 and above has mitigations against this threat by requiring user consent before allowing sms messages to be sent to premium numbers citation androidsecurity2014 ,Carrier Billing Fraud
an ios application may be able to maliciously claim a url scheme allowing it to intercept calls that are meant for a different application citation fireeye masque2 citation dhanjani urlscheme this technique for example could be used to capture oauth authorization codes citation ietf pkce or to phish user credentials citation mobileiron xara ,URL Scheme Hijacking
adversaries may use an existing legitimate external web service channel as a means for sending commands to and receiving output from a compromised system compromised systems may leverage popular websites and social media to host command and control c2 instructions those infected systems can then send the output from those commands back over that web service channel the return traffic may occur in a variety of ways depending on the web service being utilized for example the return traffic may take the form of the compromised system posting a comment on a forum issuing a pull request to development project updating a document hosted on a web service or by sending a tweet popular websites and social media acting as a mechanism for c2 may give a significant amount of cover this is due to the likelihood that hosts within a network are already communicating with them prior to a compromise using common services such as those offered by google or twitter makes it easier for adversaries to hide in expected noise web service providers commonly use ssl tls encryption giving adversaries an added level of protection ,Bidirectional Communication
adversaries may generate network traffic using a protocol and port pairing that are typically not associated for example https over port 8088 or port 587 as opposed to the traditional port 443 adversaries may make changes to the standard port used by a protocol to bypass filtering or muddle analysis parsing of network data ,Non-Standard Port
adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise supply chain compromise of software can take place in a number of ways including manipulation of the application source code manipulation of the update distribution mechanism for that software or replacing compiled releases with a modified version ,Compromise Software Supply Chain
adversaries may use an existing legitimate external web service to host information that points to additional command and control c2 infrastructure adversaries may post content known as a dead drop resolver on web services with embedded and often obfuscated encoded domains or ip addresses once infected victims will reach out to and be redirected by these resolvers popular websites and social media acting as a mechanism for c2 may give a significant amount of cover this is due to the likelihood that hosts within a network are already communicating with them prior to a compromise using common services such as those offered by google or twitter makes it easier for adversaries to hide in expected noise web service providers commonly use ssl tls encryption giving adversaries an added level of protection use of a dead drop resolver may also protect back end c2 infrastructure from discovery through malware binary analysis or enable operational resiliency since this infrastructure may be dynamically changed ,Dead Drop Resolver
adversaries may track a device s physical location through use of standard operating system apis via malicious or exploited applications on the compromised device on android applications holding the access_coaurse_location or access_fine_location permissions provide access to the device s physical location on android 10 and up declaration of the access_background_location permission in an application s manifest will allow applications to request location access even when the application is running in the background citation android request location permissions some adversaries have utilized integration of baidu map services to retrieve geographical location once the location access permissions had been obtained citation paloalto spydealer citation palo alto henbox on ios applications must include the nslocationwheninuseusagedescription nslocationalwaysandwheninuseusagedescription and or nslocationalwaysusagedescription keys in their info plist file depending on the extent of requested access to location information citation apple requesting authorization for location services on ios 8 0 and up applications call requestwheninuseauthorization to request access to location information when the application is in use or requestalwaysauthorization to request access to location information regardless of whether the application is in use with elevated privileges an adversary may be able to access location data without explicit user consent with the com apple locationd preauthorized entitlement key citation google project zero insomnia ,Location Tracking
adversaries may abuse android s device administration api to obtain a higher degree of control over the device by abusing the api adversaries can perform several nefarious actions such as resetting the device s password for endpoint denial of service https attack mitre org techniques t1642 factory resetting the device for file deletion https attack mitre org techniques t1630 002 and to delete any traces of the malware disabling all the device s cameras or to make it more difficult to uninstall the app device administrators must be approved by the user at runtime with a system popup showing which actions have been requested by the app in conjunction with other techniques such as input injection https attack mitre org techniques t1516 an app can programmatically grant itself administrator permissions without any user input ,Device Administrator Permissions
an adversary may seek to lock the legitimate user out of the device for example to inhibit user interaction or to obtain a ransom payment on android versions prior to 7 apps can abuse device administrator access to reset the device lock passcode to prevent the user from unlocking the device after android 7 only device or profile owners e g mdms can reset the device s passcode citation android resetpassword on ios devices this technique does not work because mobile device management servers can only remove the screen lock passcode they cannot set a new passcode however on jailbroken devices malware has been discovered that can lock the user out of the device citation xiao keyraider ,Device Lockout
an adversary may use access to cloud services e g google s android device manager or apple icloud s find my iphone or to an enterprise mobility management emm mobile device management mdm server console to track the location of mobile devices managed by the service citation krebs location ,Remote Device Management Services
adversaries may destroy data and files on specific devices or in large numbers to interrupt availability to systems services and network resources data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives to achieve data destruction adversaries may use the pm uninstall command to uninstall packages or the rm command to remove specific files for example adversaries may first use pm uninstall to uninstall non system apps and then use rm f file s to delete specific files further hiding malicious activity citation rootnik_rooting_tool citation abuse_native_linux_tools ,Data Destruction
with escalated privileges an adversary could program the mobile device to impersonate usb devices such as input devices keyboard and mouse storage devices and or networking devices in order to attack a physically connected pc citation wang exploitingusb citation arstechnica poisontap this technique has been demonstrated on android we are unaware of any demonstrations on ios ,Attack PC via USB Connection
,Stolen Developer Credentials or Signing Keys
an adversary could set up a rogue cellular base station and then use it to eavesdrop on or manipulate cellular device communication a compromised cellular femtocell could be used to carry out this technique citation computerworld femtocell ,Rogue Cellular Base Station
an adversary could convince the mobile network operator e g through social networking forged identification or insider attacks performed by trusted employees to issue a new sim card and associate it with an existing phone number and account citation nygov simswap citation motherboard simswap2 the adversary could then obtain sms messages or hijack phone calls intended for someone else citation betanews simswap one use case is intercepting authentication messages or phone calls to obtain illicit access to online banking or other online accounts as many online services allow account password resets by sending an authentication code over sms to a phone number associated with the account citation guardian simswap citation motherboard simswap1 citation krebs simswap citation techcrunch simswap ,SIM Card Swap
adversaries may use methods of capturing user input to obtain credentials or collect information during normal device usage users often provide credentials to various locations such as login pages portals or system dialog boxes input capture mechanisms may be transparent to the user e g keylogging https attack mitre org techniques t1417 001 or rely on deceiving the user into providing input into what they believe to be a genuine application prompt e g gui input capture https attack mitre org techniques t1417 002 ,Input Capture
adversaries may generate outbound traffic from devices this is typically performed to manipulate external outcomes such as to achieve carrier billing fraud or to manipulate app store rankings or ratings outbound traffic is typically generated as sms messages or general web traffic but may take other forms as well if done via sms messages android apps must hold the send_sms permission additionally sending an sms message requires user consent if the recipient is a premium number applications cannot send sms messages on ios,Generate Traffic from Victim
an adversary could use knowledge of the techniques used by security software to evade detection citation brodie citation tan for example some mobile security products perform compromised device detection by searching for particular artifacts such as an installed su binary but that check could be evaded by naming the binary something else similarly polymorphic code techniques could be used to evade signature based detection citation rastogi ,Disguise Root/Jailbreak Indicators
an adversary could distribute developed malware by masquerading the malware as a legitimate application this can be done in two different ways by embedding the malware in a legitimate application or by pretending to be a legitimate application embedding the malware in a legitimate application is done by downloading the application disassembling it adding the malicious code and then re assembling it citation zhou the app would appear to be the original app but would contain additional malicious functionality the adversary could then publish the malicious application to app stores or use another delivery method pretending to be a legitimate application relies heavily on lack of scrutinization by the user typically a malicious app pretending to be a legitimate one will have many similar details as the legitimate one such as name icon and description citation palo alto henbox malicious applications may also masquerade as legitimate applications when requesting access to the accessibility service in order to appear as legitimate to the user increasing the likelihood that the access will be granted ,Masquerade as Legitimate Application
,Malicious Media Content
adversaries may utilize standard operating system apis to gather calendar entry data on android this can be accomplished using the calendar content provider on ios this can be accomplished using the eventkit framework if the device has been jailbroken or rooted an adversary may be able to access calendar entries https attack mitre org techniques t1636 001 without the user s knowledge or approval ,Calendar Entries
adversaries may wipe a device or delete individual files in order to manipulate external outcomes or hide activity an application must have administrator access to fully wipe the device while individual files may not require special permissions to delete depending on their storage location citation android devicepolicymanager 2019 stored data could include a variety of file formats such as office files databases stored emails and custom file formats the impact file deletion will have depends on the type of data as well as the goals and objectives of the adversary but can include deleting update files to evade detection or deleting attacker specified files for impact ,File Deletion
an adversary may seek to inhibit user interaction by locking the legitimate user out of the device this is typically accomplished by requesting device administrator permissions and then locking the screen using devicepolicymanager locknow other novel techniques for locking the user out of the device have been observed such as showing a persistent overlay using carefully crafted call notification screens and locking html pages in the foreground these techniques can be very difficult to get around and typically require booting the device into safe mode to uninstall the malware citation microsoft mallockerb citation talos gplayed citation securelist rotexy 2018 prior to android 7 device administrators were able to reset the device lock passcode to prevent the user from unlocking the device the release of android 7 introduced updates that only allow device or profile owners e g mdms to reset the device s passcode citation android resetpassword ,Device Lockout
adversaries may log user keystrokes to intercept credentials or other information from the user as the user types them some methods of keylogging include masquerading as a legitimate third party keyboard to record user keystrokes citation zeltser keyboard on both android and ios users must explicitly authorize the use of third party keyboard apps users should be advised to use extreme caution before granting this authorization when it is requested abusing accessibility features on android adversaries may abuse accessibility features to record keystrokes by registering an accessibilityservice class overriding the onaccessibilityevent method and listening for the accessibilityevent type_view_text_changed event type the event object passed into the function will contain the data that the user typed additional methods of keylogging may be possible if root access is available ,Keylogging
adversaries may delete alter or send sms messages without user authorization this could be used to hide c2 sms messages spread malware or various external effects this can be accomplished by requesting the receive_sms or send_sms permissions depending on what the malware is attempting to do if the app is set as the default sms handler on the device the sms_deliver broadcast intent can be registered which allows the app to write to the sms content provider the content provider directly modifies the messaging database on the device which could allow malicious applications with this ability to insert modify or delete arbitrary messages on the device citation sms kitkat citation android smsprovider ,SMS Control
an adversary could use knowledge of the techniques used by security software to evade detection citation brodie citation tan for example some mobile security products perform compromised device detection by searching for particular artifacts such as an installed su binary but that check could be evaded by naming the binary something else similarly polymorphic code techniques could be used to evade signature based detection citation rastogi ,Disguise Root/Jailbreak Indicators
adversaries may attempt to exfiltrate data over a different network medium than the command and control channel if the command and control network is a standard internet connection the exfiltration may occur for example via bluetooth or another radio frequency rf channel adversaries may choose to do this if they have sufficient access or proximity and the connection might not be secured or defended as well as the primary internet connected channel because it is not routed through the same enterprise network ,Exfiltration Over Other Network Medium
,Detect App Analysis Environment
adversaries may inject code into processes in order to evade process based defenses or even elevate privileges process injection is a method of executing arbitrary code in the address space of a separate live process running code in the context of another process may allow access to the process s memory system network resources and possibly elevated privileges execution via process injection may also evade detection from security products since the execution is masked under a legitimate process both android and ios have no legitimate way to achieve process injection the only way this is possible is by abusing existing root access or exploiting a vulnerability ,Process Injection
,Malicious Software Development Tools
adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption common symmetric encryption algorithms include aes blowfish and rc4 ,Symmetric Cryptography
an intent is a message passed between android application or system components applications can register to receive broadcast intents at runtime which are system wide intents delivered to each app when certain events happen on the device such as network changes or the user unlocking the screen malicious applications can then trigger certain actions within the app based on which broadcast intent was received further malicious applications can register for intents broadcasted by other applications in addition to the android system itself this allows the malware to respond based on actions in other applications this behavior typically indicates a more intimate knowledge or potentially the targeting of specific devices users or applications in android 8 api level 26 broadcast intent behavior was changed limiting the implicit intents that applications can register for in the manifest in most cases applications that register through the manifest will no longer receive the broadcasts now applications must register context specific broadcast receivers while the user is actively using the app citation android changes to system broadcasts ,Broadcast Receivers
adversaries may search for information about wi fi networks such as network names and passwords on compromised systems adversaries may use wi fi information as part of discovery https attack mitre org tactics ta0032 or credential access https attack mitre org tactics ta0031 activity to support both ongoing and future campaigns ,Wi-Fi Discovery
adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise by modifying hardware or firmware in the supply chain adversaries can insert a backdoor into consumer networks that may be difficult to detect and give the adversary a high degree of control over the system ,Compromise Hardware Supply Chain
adversaries may abuse clipboard manager apis to obtain sensitive information copied to the device clipboard for example passwords being copied and pasted from a password manager application could be captured by a malicious application installed on the device citation fahl clipboard on android applications can use the clipboardmanager onprimaryclipchangedlistener api to register as a listener and monitor the clipboard for changes however starting in android 10 this can only be used if the application is in the foreground or is set as the device s default input method editor ime citation github capture clipboard 2019 citation android 10 privacy changes on ios this can be accomplished by accessing the uipasteboard general string field however starting in ios 14 upon accessing the clipboard the user will be shown a system notification if the accessed text originated in a different application for example if the user copies the text of an imessage from the messages application the notification will read application_name has pasted from messages when the text was pasted in a different application citation uippasteboard ,Clipboard Data
if an adversary can escalate privileges he or she may be able to use those privileges to place malicious code in the device system partition where it may persist after device resets and may not be easily removed by the device user many android devices provide the ability to unlock the bootloader for development purposes an unlocked bootloader may provide the ability for an adversary to modify the system partition even if the bootloader is locked it may be possible for an adversary to escalate privileges and then modify the system partition ,Modify System Partition
adversaries may insert delete or alter data in order to manipulate external outcomes or hide activity by manipulating data adversaries may attempt to affect a business process organizational understanding or decision making the type of modification and the impact it will have depends on the target application process and the goals and objectives of the adversary for complex systems an adversary would likely need special expertise and possibly access to specialized software related to the system typically gained through a prolonged information gathering campaign in order to have the desired impact ,Data Manipulation
adversaries may utilize standard operating system apis to gather sms messages on android this can be accomplished using the sms content provider ios provides no standard api to access sms messages if the device has been jailbroken or rooted an adversary may be able to access sms messages https attack mitre org techniques t1636 004 without the user s knowledge or approval ,SMS Messages
adversaries may use an existing legitimate external web service as a means for relaying data to from a compromised system popular websites and social media acting as a mechanism for c2 may give a significant amount of cover this is due to the likelihood that hosts within a network are already communicating with them prior to a compromise using common services such as those offered by google or twitter makes it easier for adversaries to hide in expected noise web service providers commonly use ssl tls encryption giving adversaries an added level of protection use of web services may also protect back end c2 infrastructure from discovery through malware binary analysis or enable operational resiliency since this infrastructure may be dynamically changed ,Web Service
adversaries may execute their own malicious payloads by hijacking the way an operating system runs applications hijacking execution flow can be for the purposes of persistence since this hijacked execution may reoccur at later points in time on android adversaries may overwrite the standard os api library with a malicious alternative to hook into core functions to achieve persistence by doing this the adversary s code will be executed every time the overwritten api function is called by an app on the infected device ,System Runtime API Hijacking
,Exploit Baseband Vulnerability
adversaries may search common password storage locations to obtain user credentials passwords can be stored in several places on a device depending on the operating system or application holding the credentials there are also specific applications that store passwords to make it easier for users to manage and maintain once credentials are obtained they can be used to perform lateral movement and access restricted information ,Credentials from Password Store
adversaries may utilize hooking to hide the presence of artifacts associated with their behaviors to evade detection hooking can be used to modify return values or data structures of system apis and function calls this process typically involves using 3rd party root frameworks such as xposed or magisk with either a system exploit or pre existing root access by including custom modules for root frameworks adversaries can hook system apis and alter the return value and or system data structures to alter functionality visibility of various aspects of the system ,Hooking
an adversary could attempt to install insecure or malicious configuration settings on the mobile device through means such as phishing emails or text messages either directly containing the configuration settings as an attachment or containing a web link to the configuration settings the device user may be tricked into installing the configuration settings through social engineering techniques citation symantec iosprofile for example an unwanted certification authority ca certificate could be placed in the device s trusted certificate store increasing the device s susceptibility to adversary in the middle network attacks seeking to eavesdrop on or manipulate the device s network communication eavesdrop on insecure network communication https attack mitre org techniques t1439 and manipulate device communication https attack mitre org techniques t1463 on ios malicious configuration profiles could contain unwanted certification authority ca certificates or other insecure settings such as unwanted proxy server or vpn settings to route the device s network traffic through an adversary s system the device could also potentially be enrolled into a malicious mobile device management mdm system citation talos mdm ,Install Insecure or Malicious Configuration
